tweet_id,created_at,text
1267705,Thu Oct 26 07:43:44 +0000 2017,@AppleSupport Things for :/
1688556,Mon Nov 06 17:10:35 +0000 2017,@AppleSupport battery life on 11.1 is horrible. Is this a known issue/is a fix coming soon?
1208446,Sun Oct 15 22:36:11 +0000 2017,"@applesupport
I have just moved from windows to iMac. iTunes won't add artwork for my cd's even though the same cd's are in the iTunes Store"
2695105,Sun Nov 19 17:16:20 +0000 2017,Hey @AppleSupport when tf are we fixing the I problem?!!
2057773,Fri Oct 06 21:53:14 +0000 2017,@AppleSupport dawg ios 11.0.2 is trash 😂😂😂 my phone has literally restarted by itself 20+ times since i’ve updated
2057975,Fri Oct 06 22:46:50 +0000 2017,@115858 how do i un-update my phone #thisisgarbage
553550,Sat Dec 02 16:49:39 +0000 2017,"Alguns conhecidos estão reportando problemas no funcionamento do iPhone ou iPad, como no meu caso. Alguém tem informação se é da  @115858 ?"
9156,Wed Nov 01 20:42:22 +0000 2017,@117639 @AppleSupport Having the same issue
2929725,Tue Nov 14 18:52:37 +0000 2017,@115858 Please fix iOS 11 battery drain. I have to run in low battery to survive the day.
2476138,Wed Nov 15 06:07:27 +0000 2017,Does anyone have a fix for the @115858 I️?
592249,Sun Dec 03 16:26:14 +0000 2017,"@115858 @AppleSupport I’m assuming you guys won’t fix the “ I.T “ problem either, i don’t understand how this is even possible from you guys. #disappointed"
2027212,Mon Nov 06 17:13:08 +0000 2017,@203649 @AppleSupport Having the same issue. #figureitoutapple
1591105,Sat Nov 04 20:20:26 +0000 2017,Apple should have feature which can lock any app and can be open via touch id @115858 @AppleSupport
1980440,Tue Oct 31 22:08:21 +0000 2017,@115858 plz explain why can no longer use the letter that is in the middle of H &amp; J with out this fuckery 👉🏼 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️
1183839,Sat Nov 04 13:34:04 +0000 2017,@AppleSupport My Apple Pencil stopped pairing with my iPad Pro. I've charged the pencil from iPad and an external and still nothing. Help.
2683665,Sun Nov 19 15:56:58 +0000 2017,@AppleSupport the drag and drop also kicks in when i am not multitasking. Is this a bug?
594628,Sun Dec 03 17:54:28 +0000 2017,"My alarm didn’t go off and now ima be late to work, worst update ever. @AppleSupport"
